Pos,Country,Name,Surname,Point,Constructors
-2,"United Kingdom","Paul di ",Resta,0,Williams-Mercedes
-1,"United Kingdom","Jenson ",Button,0,McLaren-Honda
1,"United Kingdom","Lewis ",Hamilton,363,Mercedes
2,Germany,"Sebastian ",Vettel,317,Ferrari
3,Finland,"Valtteri ",Bottas,305,Mercedes
4,Finland,"Kimi ",Räikkönen,205,Ferrari
5,Australia,"Daniel ",Ricciardo,200,"Red Bull Racing-TAG Heue"
6,Nederland,"Max ",Verstappen,168,"Red Bull Racing-TAG Heue"
7,Mexican,"Sergio ",Pérez,100,"Force India-Mercedes"
8,France,"Esteban ",Ocon,87,"Force India-Mercedes"
9,Spain,"Carlos ","Sainz Jr.",54,Renault
10,Germany,"Nico ",Hülkenberg,43,Renault
11,Brasil,"Felipe ",Massa,43,Williams-Mercedes
12,Canada,"Lance ",Stroll,40,Williams-Mercedes
13,France,"Romain ",Grosjean,28,Haas-Ferrari
14,Denmark,"Kevin ",Magnussen,19,Haas-Ferrari
15,Spain,"Fernando ",Alonso,17,McLaren-Honda
16,Belgium,"Stoffel ",Vandoorne,13,McLaren-Honda
17,"United Kingdom","Jolyon ",Palmer,8,Renault
18,Germany,"Pascal ",Wehrlein,5,Sauber-Ferrari
19,Russia,"Daniil ",Kvyat,5,"Toro Rosso"
20,Sweden,"Marcus ",Ericsson,0,Sauber-Ferrari
21,France,"Pierre ",Gasly,0,"Toro Rosso"
22,Italy,"Antonio ",Giovinazzi,0,Sauber-Ferrari
23,"New Zealand","Brendon ",Hartley,0,"Toro Rosso"
