Pos,Name,Surname,Point,Constructors
-2,"Paul di ",Resta,0,Williams-Mercedes
-1,"Jenson ",Button,0,McLaren-Honda
1,"Lewis ",Hamilton,363,Mercedes
2,"Sebastian ",Vettel,317,Ferrari
3,"Valtteri ",Bottas,305,Mercedes
4,"Kimi ",Räikkönen,205,Ferrari
5,"Daniel ",Ricciardo,200,"Red Bull Racing-TAG Heue"
6,"Max ",Verstappen,168,"Red Bull Racing-TAG Heue"
7,"Sergio ",Pérez,100,"Force India-Mercedes"
8,"Esteban ",Ocon,87,"Force India-Mercedes"
9,"Carlos ","Sainz Jr.",54,Renault
10,"Nico ",Hülkenberg,43,Renault
11,"Felipe ",Massa,43,Williams-Mercedes
12,"Lance ",Stroll,40,Williams-Mercedes
13,"Romain ",Grosjean,28,Haas-Ferrari
14,"Kevin ",Magnussen,19,Haas-Ferrari
15,"Fernando ",Alonso,17,McLaren-Honda
16,"Stoffel ",Vandoorne,13,McLaren-Honda
17,"Jolyon ",Palmer,8,Renault
18,"Pascal ",Wehrlein,5,Sauber-Ferrari
19,"Daniil ",Kvyat,5,"Toro Rosso"
20,"Marcus ",Ericsson,0,Sauber-Ferrari
21,"Pierre ",Gasly,0,"Toro Rosso"
22,"Antonio ",Giovinazzi,0,Sauber-Ferrari
23,"Brendon ",Hartley,0,"Toro Rosso"
